# java golden · conveyor chain
# world: 16x16 all-air, seed=1, Time.delta=1
# layout: conveyor(1,2)r0 conveyor(2,2)r0 conveyor(3,2)r0 router(4,2)r0
# item: copper, injected into (2,2) with source (1,2)
# columns: tick|len1|ys1_0|xs1_0|item1|len2|ys2_0|xs2_0|item2|routerTotal
0|1|0.0|0.0|copper|0|0.0|0.0|null|0
1|1|0.035|0.0|copper|0|0.0|0.0|null|0
2|1|0.07|0.0|copper|0|0.0|0.0|null|0
3|1|0.105000004|0.0|copper|0|0.0|0.0|null|0
4|1|0.14|0.0|copper|0|0.0|0.0|null|0
5|1|0.175|0.0|copper|0|0.0|0.0|null|0
6|1|0.21|0.0|copper|0|0.0|0.0|null|0
7|1|0.24499999|0.0|copper|0|0.0|0.0|null|0
8|1|0.28|0.0|copper|0|0.0|0.0|null|0
9|1|0.315|0.0|copper|0|0.0|0.0|null|0
10|1|0.35|0.0|copper|0|0.0|0.0|null|0
11|1|0.385|0.0|copper|0|0.0|0.0|null|0
12|1|0.42|0.0|copper|0|0.0|0.0|null|0
13|1|0.45499998|0.0|copper|0|0.0|0.0|null|0
14|1|0.48999998|0.0|copper|0|0.0|0.0|null|0
15|1|0.525|0.0|copper|0|0.0|0.0|null|0
16|1|0.56|0.0|copper|0|0.0|0.0|null|0
17|1|0.595|0.0|copper|0|0.0|0.0|null|0
18|1|0.63000005|0.0|copper|0|0.0|0.0|null|0
19|1|0.6650001|0.0|copper|0|0.0|0.0|null|0
20|1|0.7000001|0.0|copper|0|0.0|0.0|null|0
21|1|0.73500013|0.0|copper|0|0.0|0.0|null|0
22|1|0.77000016|0.0|copper|0|0.0|0.0|null|0
23|1|0.8050002|0.0|copper|0|0.0|0.0|null|0
24|1|0.8400002|0.0|copper|0|0.0|0.0|null|0
25|1|0.87500024|0.0|copper|0|0.0|0.0|null|0
26|1|0.91000026|0.0|copper|0|0.0|0.0|null|0
27|1|0.9450003|0.0|copper|0|0.0|0.0|null|0
28|1|0.9800003|0.0|copper|0|0.0|0.0|null|0
29|0|1.0|0.0|copper|1|0.035|0.0|copper|0
30|0|1.0|0.0|copper|1|0.07|0.0|copper|0
31|0|1.0|0.0|copper|1|0.105000004|0.0|copper|0
32|0|1.0|0.0|copper|1|0.14|0.0|copper|0
33|0|1.0|0.0|copper|1|0.175|0.0|copper|0
34|0|1.0|0.0|copper|1|0.21|0.0|copper|0
35|0|1.0|0.0|copper|1|0.24499999|0.0|copper|0
36|0|1.0|0.0|copper|1|0.28|0.0|copper|0
37|0|1.0|0.0|copper|1|0.315|0.0|copper|0
38|0|1.0|0.0|copper|1|0.35|0.0|copper|0
39|0|1.0|0.0|copper|1|0.385|0.0|copper|0
40|0|1.0|0.0|copper|1|0.42|0.0|copper|0
41|0|1.0|0.0|copper|1|0.45499998|0.0|copper|0
42|0|1.0|0.0|copper|1|0.48999998|0.0|copper|0
43|0|1.0|0.0|copper|1|0.525|0.0|copper|0
44|0|1.0|0.0|copper|1|0.56|0.0|copper|0
45|0|1.0|0.0|copper|1|0.595|0.0|copper|0
46|0|1.0|0.0|copper|1|0.63000005|0.0|copper|0
47|0|1.0|0.0|copper|1|0.6650001|0.0|copper|0
48|0|1.0|0.0|copper|1|0.7000001|0.0|copper|0
49|0|1.0|0.0|copper|1|0.73500013|0.0|copper|0
50|0|1.0|0.0|copper|1|0.77000016|0.0|copper|0
51|0|1.0|0.0|copper|1|0.8050002|0.0|copper|0
52|0|1.0|0.0|copper|1|0.8400002|0.0|copper|0
53|0|1.0|0.0|copper|1|0.87500024|0.0|copper|0
54|0|1.0|0.0|copper|1|0.91000026|0.0|copper|0
55|0|1.0|0.0|copper|1|0.9450003|0.0|copper|0
56|0|1.0|0.0|copper|1|0.9800003|0.0|copper|0
57|0|1.0|0.0|copper|0|1.0|0.0|copper|1
58|0|1.0|0.0|copper|0|1.0|0.0|copper|1
59|0|1.0|0.0|copper|0|1.0|0.0|copper|1
60|0|1.0|0.0|copper|0|1.0|0.0|copper|1
