# java golden · side input (non-zero xs)
# world: 16x16 all-air, seed=1, Time.delta=1
# layout: conveyor(2,2)r0 conveyor(2,3)r1[side] conveyor(3,2)r0[ahead]
# item: copper injected into (2,2) with source (2,3)
# columns: tick|len1|ys1_0|xs1_0|aheadLen
0|1|0.5|1.0|0
1|1|0.535|0.93|0
2|1|0.57000005|0.86|0
3|1|0.6050001|0.79|0
4|1|0.6400001|0.72|0
5|1|0.67500013|0.65000004|0
6|1|0.71000016|0.58000004|0
7|1|0.7450002|0.51000005|0
8|1|0.7800002|0.44000006|0
9|1|0.81500024|0.37000006|0
10|1|0.85000026|0.30000007|0
11|1|0.8850003|0.23000008|0
12|1|0.9200003|0.16000009|0
13|1|0.95500034|0.090000086|0
14|1|0.99000037|0.020000085|0
15|0|1.0|0.0|1
16|0|1.0|0.0|1
17|0|1.0|0.0|1
18|0|1.0|0.0|1
19|0|1.0|0.0|1
20|0|1.0|0.0|1
